prénom,nom,match_played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Save% (Penalty Kicks),PSxG/SoT,Passes Attempted (Launched),Pass Completion Percentage (Launched),Goals,Assists,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Shots on Target,Goals/Shot,Passes Completed,Pass Completion %,Key Passes,Crosses,Tackles Won,Blocks,Interceptions,Clearances,Errors,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
Moises,Caicedo,10,,,,,,,,,0.06,0.14,0.32,0.00,0.92,5.32,0.12,0.13,56.31,88.9%,0.83,0.43,1.70,1.81,1.38,1.41,0.09,1.67,1.55,0.00,0.00,0.00,0.00
Enzo,Fernandez,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhailo,Mudryk,8,,,,,,,,,0.19,0.13,0.26,0.00,5.29,2.84,0.71,0.10,21.94,69.4%,1.87,4.13,0.58,0.77,0.52,0.52,0.00,1.42,1.48,0.13,0.13,0.00,0.00
Reece,James,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joao,Felix,7,,,,,,,,,0.57,0.07,0.35,0.00,4.18,4.11,1.42,0.14,33.12,79.3%,0.92,0.92,0.64,0.57,0.35,0.71,0.00,1.28,3.19,0.57,0.00,0.00,0.00
Marc,Cucurella,10,,,,,,,,,0.00,0.09,0.52,0.00,1.51,2.60,0.13,0.00,49.28,86.9%,0.82,0.87,1.64,1.82,0.95,2.55,0.00,1.13,1.82,0.09,0.04,0.04,0.04
Wesley,Fofana,9,,,,,,,,,0.00,0.00,0.70,0.00,0.81,1.86,0.00,0.00,54.05,88.6%,0.46,0.12,1.04,1.51,1.39,4.52,0.12,1.97,1.28,0.00,0.00,0.00,0.00
Christopher,Nkunku,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,Chilwell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosin,Adarabioyo,5,,,,,,,,,0.10,0.00,0.15,0.00,0.50,3.22,0.25,0.14,58.69,85.3%,0.15,0.05,0.65,0.86,1.31,4.23,0.00,0.60,0.25,0.00,0.00,0.00,0.00
Pedro,Neto,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel,Disasi,4,,,,,,,,,0.05,0.00,0.19,0.00,1.05,3.39,0.10,0.11,65.82,89.4%,0.05,0.24,0.91,0.91,0.72,3.86,0.05,0.57,0.62,0.05,0.00,0.00,0.05
Jadon,Sancho,5,,,,,,,,,0.15,0.25,0.10,0.00,5.22,5.47,0.25,0.23,36.60,80.3%,2.09,2.34,0.60,1.04,0.30,0.40,0.00,0.30,0.65,0.25,0.10,0.00,0.00
Tyrique,George,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiano,Dyer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh,Acheampong,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc,Guiu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deivid,Washington,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesare,Casadei,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato,Veiga,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo,Lavia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
